This file describes types of cartridge images supported by the Atari800
emulator.

There are:
- raw images - files that contain only dump of cartridge memory
- CART files - images with additional 16-byte header, which contains type
  of the cartridge

For raw images you usually have to select the cartridge type each time
you insert an image. To make it easier, you only select from types of same
image size. If there's only one supported type that matches file's length
(currently only for 2 KB cartridges), that type is selected automatically.

The advantage of using CART files is that you don't have to select
the cartridge type, because it is stored inside the file.

The CART format has been introduced in Atari800 0.8.0, when there were
only 4 supported cartridge types. The format has not changed, only new types
have been added.

The format is:
 first 4 bytes containing 'C' 'A' 'R' 'T'.
 next 4 bytes containing cartridge type in MSB format (see the table below).
 next 4 bytes containing cartridge checksum in MSB format (ROM only).
 next 4 bytes are currently unused (zero).
 followed immediately with the ROM data: 2, 4, 8, 16, 32, 40, etc. kilobytes.

The recommended file name extension for CART files is CAR.

Currently supported cartridge types:

+----+-----------+------+-----------------------------------------------+---+
| Id |  Machine  | Size | Name                                          | E |
|----+-----------+------+-----------------------------------------------+---+
|  1 | 800/XL/XE |    8 | Standard 8 KB cartridge                       |   |
|  2 | 800/XL/XE |   16 | Standard 16 KB cartridge                      |   |
|  3 | 800/XL/XE |   16 | OSS two chip 16 KB cartridge (034M)           |   |
|  4 |   5200    |   32 | Standard 32 KB 5200 cartridge                 |   |
|  5 | 800/XL/XE |   32 | DB 32 KB cartridge                            |   |
|  6 |   5200    |   16 | Two chip 16 KB 5200 cartridge                 |   |
|  7 |   5200    |   40 | Bounty Bob Strikes Back 40 KB 5200 cartridge  |   |
|  8 | 800/XL/XE |   64 | 64 KB Williams cartridge                      |   |
|  9 | 800/XL/XE |   64 | Express 64 KB cartridge                       |   |
| 10 | 800/XL/XE |   64 | Diamond 64 KB cartridge                       |   |
| 11 | 800/XL/XE |   64 | SpartaDOS X 64 KB cartridge                   |   |
| 12 | 800/XL/XE |   32 | XEGS 32 KB cartridge                          |   |
| 13 | 800/XL/XE |   64 | XEGS 64 KB cartridge (banks 0-7)              |   |
| 14 | 800/XL/XE |  128 | XEGS 128 KB cartridge                         |   |
| 15 | 800/XL/XE |   16 | OSS one chip 16 KB cartridge                  |   |
| 16 |   5200    |   16 | One chip 16 KB 5200 cartridge                 |   |
| 17 | 800/XL/XE |  128 | Decoded Atrax 128 KB cartridge                |   |
| 18 | 800/XL/XE |   40 | Bounty Bob Strikes Back 40 KB cartridge       |   |
| 19 |   5200    |    8 | Standard 8 KB 5200 cartridge                  |   |
| 20 |   5200    |    4 | Standard 4 KB 5200 cartridge                  |   |
| 21 |    800    |    8 | Right slot 8 KB cartridge                     |   |
| 22 | 800/XL/XE |   32 | 32 KB Williams cartridge                      |   |
| 23 | 800/XL/XE |  256 | XEGS 256 KB cartridge                         |   |
| 24 | 800/XL/XE |  512 | XEGS 512 KB cartridge                         |   |
| 25 | 800/XL/XE | 1024 | XEGS 1 MB cartridge                           |   |
| 26 | 800/XL/XE |   16 | MegaCart 16 KB cartridge                      |   |
| 27 | 800/XL/XE |   32 | MegaCart 32 KB cartridge                      |   |
| 28 | 800/XL/XE |   64 | MegaCart 64 KB cartridge                      |   |
| 29 | 800/XL/XE |  128 | MegaCart 128 KB cartridge                     |   |
| 30 | 800/XL/XE |  256 | MegaCart 256 KB cartridge                     |   |
| 31 | 800/XL/XE |  512 | MegaCart 512 KB cartridge                     |   |
| 32 | 800/XL/XE | 1024 | MegaCart 1 MB cartridge                       |   |
| 33 | 800/XL/XE |   32 | Switchable XEGS 32 KB cartridge               |   |
| 34 | 800/XL/XE |   64 | Switchable XEGS 64 KB cartridge               |   |
| 35 | 800/XL/XE |  128 | Switchable XEGS 128 KB cartridge              |   |
| 36 | 800/XL/XE |  256 | Switchable XEGS 256 KB cartridge              |   |
| 37 | 800/XL/XE |  512 | Switchable XEGS 512 KB cartridge              |   |
| 38 | 800/XL/XE | 1024 | Switchable XEGS 1 MB cartridge                |   |
| 39 | 800/XL/XE |    8 | Phoenix 8 KB cartridge                        |   |
| 40 | 800/XL/XE |   16 | Blizzard 16 KB cartridge                      |   |
| 41 | 800/XL/XE |  128 | Atarimax 128 KB Flash cartridge               | p |
| 42 | 800/XL/XE | 1024 | Atarimax 1 MB Flash cartridge (old)           | p |
| 43 | 800/XL/XE |  128 | SpartaDOS X 128 KB cartridge                  |   |
| 44 | 800/XL/XE |    8 | OSS 8 KB cartridge                            |   |
| 45 | 800/XL/XE |   16 | OSS two chip 16 KB cartridge (043M)           |   |
| 46 | 800/XL/XE |    4 | Blizzard 4 KB cartridge                       |   |
| 47 | 800/XL/XE |   32 | AST 32 KB cartridge                           |   |
| 48 | 800/XL/XE |   64 | Atrax SDX 64 KB cartridge                     |   |
| 49 | 800/XL/XE |  128 | Atrax SDX 128 KB cartridge                    |   |
